Date,Open,High,Low,Close,Volume
02/11/2022,"2,775.00","2,785.67","2,665.77","2,682.60","1,940,440"
02/10/2022,"2,790.00","2,828.62","2,761.00","2,772.05","1,650,885"
02/09/2022,"2,817.00","2,843.51","2,807.54","2,829.06","1,431,358"
02/08/2022,"2,779.83","2,796.74","2,737.46","2,784.26","1,712,752"
02/07/2022,"2,874.18","2,876.93","2,773.98","2,778.76","2,230,537"
02/04/2022,"2,860.34","2,890.71","2,796.35","2,860.32","2,461,220"
02/03/2022,"2,905.90","2,982.35","2,844.10","2,853.01","2,846,507"
02/02/2022,"3,037.27","3,042.00","2,911.15","2,960.73","4,487,538"
02/01/2022,"2,756.70","2,764.00","2,691.37","2,757.57","2,560,160"
01/31/2022,"2,683.96","2,716.87","2,645.48","2,713.97","1,702,778"
01/28/2022,"2,600.00","2,667.41","2,573.89","2,665.79","1,525,878"
01/27/2022,"2,627.22","2,652.20","2,578.90","2,582.42","1,514,251"
01/26/2022,"2,611.85","2,656.15","2,543.07","2,584.80","1,981,544"
01/25/2022,"2,568.71","2,586.77","2,527.56","2,534.71","1,800,430"
01/24/2022,"2,520.55","2,615.57","2,492.84","2,607.44","2,764,602"
01/21/2022,"2,660.24","2,695.21","2,600.02","2,601.84","2,095,961"
01/20/2022,"2,730.28","2,758.24","2,662.89","2,670.13","1,096,528"
01/19/2022,"2,738.77","2,767.99","2,710.00","2,713.04","1,039,764"
01/18/2022,"2,732.00","2,747.83","2,712.34","2,725.81","1,370,098"
01/14/2022,"2,750.00","2,824.01","2,750.00","2,795.73","1,191,296"
01/13/2022,"2,836.81","2,863.71","2,778.28","2,782.62","1,328,254"
01/12/2022,"2,831.09","2,856.29","2,822.24","2,832.96","1,182,079"
